UF;MUNICIPIO;TOTAL;AUTOMOVEL;BONDE;CAMINHAO;CAMINHAO TRATOR;CAMINHONETE;CAMIONETA;CHASSI PLATAF;CICLOMOTOR;MICRO-ONIBUS;MOTOCICLETA;MOTONETA;ONIBUS;QUADRICICLO;REBOQUE;SEMI-REBOQUE;SIDE-CAR;OUTROS;TRATOR ESTEI;TRATOR RODAS;TRICICLO;UTILITARIO
UF;MUNICIPIO;TOTAL;AUTOMOVEL;BONDE;CAMINHAO;CAMINHAO TRATOR;CAMINHONETE;CAMIONETA;CHASSI PLATAF;CICLOMOTOR;MICRO-ONIBUS;MOTOCICLETA;MOTONETA;ONIBUS;QUADRICICLO;REBOQUE;SEMI-REBOQUE;SIDE-CAR;OUTROS;TRATOR ESTEI;TRATOR RODAS;TRICICLO;UTILITARIO
MG;ITAU DE MINAS;10305;5909;0;316;478;847;277;0;23;49;1420;262;57;0;214;392;2;1;0;3;2;53
MG;ITAUNA;70384;36977;0;1752;1030;7728;2215;0;232;260;14795;1449;415;1;1551;1180;23;12;1;6;35;722
MG;ITAVERAVA;2341;903;0;95;19;198;30;0;1;11;962;36;30;0;29;18;0;0;0;1;2;6
MG;ITINGA;3567;1167;0;83;17;347;61;0;1;31;1644;97;57;0;26;20;0;1;0;1;5;9
MG;ITUETA;2783;908;0;102;19;268;31;0;1;6;1158;186;37;0;30;29;0;0;0;0;1;7
MG;ITUIUTABA;76769;31394;0;1563;523;6733;1551;0;491;324;18540;11182;432;0;2745;834;8;9;0;4;43;393
MG;ITUMIRIM;2990;1691;0;97;10;237;90;0;4;33;718;23;10;0;60;4;0;1;0;0;1;11
MG;ITURAMA;31356;13608;0;971;586;2988;745;0;213;113;6017;2352;352;0;2371;885;5;1;0;4;6;139
MG;ITUTINGA;2369;1362;0;100;22;237;56;0;0;33;347;29;11;0;114;39;0;0;0;0;0;19
MG;JABOTICATUBAS;9169;4331;0;355;13;1160;225;0;16;30;2633;121;73;0;131;11;0;1;0;3;3;63
MG;JACINTO;3028;1167;0;40;0;305;64;0;8;18;1250;66;47;0;45;2;0;0;0;0;5;11
MG;JACUI;6450;2973;0;226;19;708;75;0;2;25;2185;82;54;0;51;13;0;1;0;0;0;36
MG;JACUTINGA;18253;10485;0;594;93;1773;640;0;44;92;3619;274;103;0;236;76;17;1;0;3;16;187
MG;JAGUARACU;1454;741;0;88;15;134;48;0;3;4;358;6;8;0;33;13;0;0;0;0;0;3
MG;JAIBA;19081;5848;0;542;42;1513;218;0;135;42;8484;1261;281;0;480;156;0;3;0;2;15;59
MG;JAMPRUCA;1051;356;0;26;0;55;13;0;1;8;528;13;27;0;18;0;3;1;0;0;0;2
MG;JANAUBA;41655;12608;0;944;142;3156;816;0;581;58;16392;5226;231;0;1076;179;1;23;0;0;32;190
MG;JANUARIA;28259;8222;0;536;22;2121;656;0;35;47;13518;1997;191;0;737;29;2;10;0;1;21;114
MG;JAPARAIBA;2973;1386;0;159;10;329;38;0;2;26;793;88;31;0;84;14;0;0;0;0;1;12
MG;JAPONVAR;2973;1182;0;91;6;326;34;0;5;11;1144;76;25;0;66;6;0;0;0;0;0;1
MG;JECEABA;3343;1634;0;129;19;274;73;0;36;28;1016;41;17;0;37;20;0;1;0;1;2;15
MG;JENIPAPO DE MINAS;2625;629;0;35;0;183;27;0;0;15;1595;73;36;0;29;0;0;0;0;0;0;3
MG;JEQUERI;6212;2598;0;211;16;670;69;0;37;15;2400;26;62;0;63;18;0;0;0;1;13;13
MG;JEQUITAI;2950;1074;0;65;5;291;48;0;4;8;1176;137;43;0;81;9;0;2;0;0;1;6
MG;JEQUITIBA;2537;1258;0;110;5;285;37;0;34;21;662;12;41;0;54;12;0;0;0;0;0;6
MG;JEQUITINHONHA;6821;2497;0;135;3;559;111;1;46;64;2889;336;64;0;89;1;1;2;0;0;4;19
MG;JESUANIA;2613;1350;0;95;3;242;68;0;4;28;711;40;18;0;45;5;0;0;0;0;0;4
MG;JOAIMA;4063;1539;0;89;4;386;76;0;9;21;1690;134;48;0;47;3;2;1;0;0;8;6
MG;JOANESIA;1981;715;0;27;0;147;28;0;14;14;971;7;23;0;28;0;1;0;0;0;0;6
MG;JOAO MONLEVADE;52784;30794;0;1757;608;6450;1798;0;312;147;8097;460;260;0;790;635;12;9;0;10;48;597
MG;JOAO PINHEIRO;31382;14640;0;1493;661;3563;525;0;148;115;5652;1626;457;0;1136;1127;44;1;1;4;28;161
MG;JOAQUIM FELICIO;1290;638;0;58;3;174;27;0;3;7;282;28;37;0;29;1;0;0;0;0;1;2
MG;JORDANIA;2181;623;0;43;0;183;46;0;1;23;1172;27;25;0;30;0;0;0;0;0;3;5
MG;JOSE GONCALVES DE MINAS;2216;625;0;43;1;232;36;0;0;21;1173;25;21;0;36;0;0;0;0;0;2;1
MG;JOSE RAYDAN;1941;712;0;52;6;135;14;0;7;3;927;24;20;0;32;6;0;0;0;0;2;1
MG;JOSENOPOLIS;807;208;0;27;0;61;4;0;0;11;436;18;33;0;8;0;0;0;0;0;0;1
MG;JUATUBA;15548;9727;0;388;155;1382;488;0;77;72;2123;229;344;0;323;144;0;2;0;7;4;83
MG;JUIZ DE FORA;300486;190839;0;6630;1396;20066;13561;0;994;879;44085;5728;1913;1;6881;2111;7;82;0;45;93;5175
MG;JURAMENTO;751;299;0;22;3;69;10;0;0;9;292;13;21;0;8;3;0;0;0;0;1;1
MG;JURUAIA;8368;3700;0;186;35;832;150;0;1;39;2899;237;42;0;127;42;1;1;0;1;3;72
MG;JUVENILIA;1102;435;0;43;1;83;15;0;2;4;459;19;17;0;19;1;0;0;0;0;0;4
MG;LADAINHA;4408;1358;0;90;0;344;57;0;23;24;2238;165;54;0;38;1;0;0;0;0;4;12
MG;LAGAMAR;4103;2077;0;131;67;461;72;0;8;39;840;103;26;0;155;107;2;0;0;0;1;14
MG;LAGOA DA PRATA;39314;18381;0;1482;235;3215;801;0;54;137;8465;4175;239;0;1283;389;3;23;0;7;11;414
MG;LAGOA DOS PATOS;1228;449;0;43;2;171;19;0;5;2;462;22;18;0;26;5;0;0;0;0;1;3
MG;LAGOA DOURADA;9867;3670;0;540;103;826;176;0;0;69;3541;259;331;0;180;114;0;2;0;1;14;41
MG;LAGOA FORMOSA;13053;6768;0;630;219;1742;215;0;35;34;2220;378;140;0;256;323;0;0;2;1;11;79
MG;LAGOA GRANDE;5144;2336;0;193;20;578;53;0;15;13;1454;177;75;0;180;23;3;0;0;0;1;23
MG;LAGOA SANTA;39839;23067;0;1047;61;3296;1568;0;344;138;7654;1018;147;0;771;70;0;6;1;4;39;608
MG;LAJINHA;12993;5183;0;425;26;1037;205;0;68;90;5333;322;79;0;149;27;1;1;1;0;6;40
MG;LAMBARI;14654;7614;0;542;60;1476;398;0;21;94;3481;522;48;0;189;60;0;5;0;1;4;139
MG;LAMIM;1940;772;0;54;1;126;33;0;1;3;889;13;11;0;25;1;0;0;0;0;2;9
MG;LARANJAL;3728;1520;0;115;344;299;60;0;10;14;970;52;12;0;75;243;0;0;0;0;1;13
MG;LASSANCE;2241;992;0;78;6;272;50;0;8;21;676;39;25;0;57;9;0;0;0;0;1;7
MG;LAVRAS;72927;38109;0;1659;1112;5916;2369;0;73;234;16770;2404;316;0;1901;1257;1;20;1;11;27;747
MG;LEANDRO FERREIRA;1880;915;0;50;3;228;27;0;1;6;533;60;10;0;41;3;0;0;0;0;0;3
MG;LEME DO PRADO;2211;643;0;37;6;215;25;0;2;15;1158;29;23;0;28;9;0;1;0;0;12;8
MG;LEOPOLDINA;25872;14723;0;885;457;1990;655;0;181;117;5228;316;125;0;640;331;10;7;0;4;12;191
MG;LIBERDADE;3307;1907;0;177;3;297;72;0;2;29;686;32;18;0;62;4;0;0;0;0;0;18
MG;LIMA DUARTE;8205;4640;0;303;15;781;266;0;163;54;1632;34;43;0;146;19;0;1;0;2;6;100
MG;LIMEIRA DO OESTE;5255;2399;0;197;82;556;133;0;26;37;935;116;84;0;487;185;0;0;0;0;1;17
MG;LONTRA;2885;1254;0;55;1;243;51;0;2;9;1083;78;21;0;81;0;0;1;0;0;1;5
MG;LUISBURGO;4752;1876;0;108;4;662;60;0;22;15;1872;48;33;0;31;1;0;0;0;0;1;19
MG;LUISLANDIA;1414;591;0;35;8;143;28;0;0;11;506;30;22;0;30;9;0;0;0;0;0;1
MG;LUMINARIAS;3622;1825;0;190;10;360;62;0;0;23;1002;25;49;0;40;12;0;1;0;0;0;23
MG;LUZ;12602;7120;0;437;150;1391;303;0;165;59;1922;291;46;0;385;242;5;3;0;0;2;81
MG;MACHACALIS;2426;1001;0;50;1;236;42;0;6;8;963;45;17;0;47;1;0;0;0;0;0;9
MG;MACHADO;25445;12991;0;913;249;2996;675;0;35;191;5345;1120;162;0;317;206;1;4;0;1;6;233
MG;MADRE DE DEUS DE MINAS;3113;1551;0;165;21;393;88;0;10;33;645;57;27;0;66;32;0;0;0;0;5;20
MG;MALACACHETA;7548;3019;0;144;11;824;92;0;86;23;2939;141;86;0;107;9;0;0;0;0;41;26
MG;MAMONAS;3858;1022;0;95;2;245;19;0;5;14;2187;177;35;0;46;2;0;0;0;0;0;9
